Month,Traffic Accidents (Provisional),Traffic Accidents (Per Day),Traffic Accidents (Change),Traffic Accidents (Component ratio),Fatalities,Fatalities (Per Day),Fatalities (Change),Fatalities (Component Ratio),Injuries (Provisional),Injuries (Per day),Injuries (Change),Injuries (Component ratio)
January,23859.0,769.6451612903226,-37.0,-0.15483762972882492,183.0,5.903225806451613,-15.0,-7.575757575757576,28195.0,909.516129032258,122.0,0.43458127025968013
February,21191.0,756.8214285714286,-2334.0,-9.921360255047821,176.0,6.285714285714286,-31.0,-14.975845410628018,24547.0,876.6785714285714,-3013.0,-10.932510885341074
March,25020.0,807.0967741935484,-1503.0,-5.666779776043434,203.0,6.548387096774194,-7.0,-3.3333333333333335,29485.0,951.1290322580645,-2143.0,-6.77564183634754
April,23588.0,786.2666666666667,-1486.0,-5.926457685251655,191.0,6.366666666666666,-7.0,-3.535353535353535,27977.0,932.5666666666667,-1685.0,-5.680668869260333
May,23987.0,773.7741935483871,1614.0,7.214052652751084,214.0,6.903225806451613,31.0,16.939890710382514,28630.0,923.5483870967741,2067.0,7.781500583518428
June,25342.0,844.7333333333333,973.0,3.9927777093848738,191.0,6.366666666666666,-11.0,-5.445544554455446,29809.0,993.6333333333333,1282.0,4.4939881515757
July,24870.0,802.258064516129,3.0,0.012064181445288936,207.0,6.67741935483871,-23.0,-10.0,29514.0,952.0645161290323,2.0,0.00677690431011114
August,24078.0,776.7096774193549,297.0,1.2488961776207896,230.0,7.419354838709677,37.0,19.170984455958546,29151.0,940.3548387096774,210.0,0.7256141805742718
September,24256.0,808.5333333333333,1276.0,5.552654482158399,222.0,7.4,15.0,7.246376811594203,28861.0,962.0333333333333,1420.0,5.174738529936955
October,27254.0,879.1612903225806,18.0,0.06608899985313556,261.0,8.419354838709678,-12.0,-4.395604395604396,32327.0,1042.8064516129032,155.0,0.4817854034564218
November,27370.0,912.3333333333334,-1006.0,-3.545249506625317,252.0,8.4,1.0,0.398406374501992,32207.0,1073.5666666666666,-1269.0,-3.79077548094157
December,,,,,,,,,,,,
Total,270815.0,810.8233532934132,-2185.0,-0.8003663003663003,2330.0,6.976047904191617,-22.0,-0.935374149659864,320703.0,960.188622754491,-2852.0,-0.8814575574477292
