Month,Traffic Accidents (Provisional),Traffic Accidents (Per Day),Traffic Accidents (Change),Traffic Accidents (Component ratio),Fatalities,Fatalities (Per Day),Fatalities (Change),Fatalities (Component Ratio),Injuries (Provisional),Injuries (Per day),Injuries (Change),Injuries (Component ratio)
January,23419.0,755.4516129032259,-440.0,-1.8441678192715538,217.0,7.0,34.0,18.579234972677597,27793.0,896.5483870967741,-402.0,-1.4257847136017026
February,23369.0,834.6071428571429,2178.0,10.27794818555047,170.0,6.071428571428571,-6.0,-3.4090909090909087,27555.0,984.1071428571429,3008.0,12.254043263942641
March,26442.0,852.9677419354839,1422.0,5.683453237410072,226.0,7.290322580645161,23.0,11.330049261083744,31406.0,1013.0967741935484,1921.0,6.515177208750211
April,24410.0,813.6666666666666,822.0,3.4848227912497878,184.0,6.133333333333334,-7.0,-3.664921465968586,28994.0,966.4666666666667,1017.0,3.635128855845873
May,24534.0,791.4193548387096,547.0,2.280401884354025,208.0,6.709677419354839,-6.0,-2.803738317757009,29435.0,949.516129032258,805.0,2.8117359413202934
June,24769.0,825.6333333333333,-573.0,-2.261068581800963,176.0,5.866666666666666,-15.0,-7.853403141361256,29142.0,971.4,-667.0,-2.2375792545875406
July,24714.0,797.2258064516129,-156.0,-0.6272617611580217,236.0,7.612903225806452,29.0,14.009661835748794,29293.0,944.9354838709677,-221.0,-0.7487971809988481
August,25450.0,820.9677419354839,1372.0,5.6981476866849405,240.0,7.741935483870968,10.0,4.3478260869565215,31026.0,1000.8387096774194,1875.0,6.432026345579911
September,24840.0,828.0,584.0,2.4076517150395778,215.0,7.166666666666667,-7.0,-3.153153153153153,29504.0,983.4666666666667,643.0,2.227920030490974
October,27861.0,898.741935483871,607.0,2.2271960079254423,252.0,8.129032258064516,-9.0,-3.4482758620689653,32781.0,1057.4516129032259,454.0,1.4043987997649023
November,27726.0,924.2,356.0,1.3006941907197662,254.0,8.466666666666667,2.0,0.7936507936507936,32644.0,1088.1333333333334,437.0,1.3568478902102026
December,,,,,,,,,,,,
Total,277534.0,830.9401197604791,6719.0,2.4810294850728356,2378.0,7.119760479041916,48.0,2.060085836909871,329573.0,986.745508982036,8870.0,2.7657988855732563
