"scrape_datetime","data_url","Address","Level","Space options","Availability","Price from","Outgoings","Floor area","Fitout"
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/25-martin-place","25 Martin Place (Tower), Sydney","Level 31 Suite 1","Part floor","Available now","$1,450 psm","$0 psm","444 sqm  -  31-50 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/25-martin-place","25 Martin Place (Tower), Sydney","Level 31 Suite 2","Part floor","Available now","$1,425 psm","$0 psm","190 sqm  -  11-30 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/25-martin-place","25 Martin Place (Tower), Sydney","Level 31","Full floor","Available now","POA","$241 psm","1198 sqm  -  101-250 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/60-castlereagh-street","60 Castlereagh Street, Sydney","Level 8","Full floor, available to sub-divide","01 Feb 2025","POA","$0 psm","1273 sqm  -  101-250 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/60-castlereagh-street","60 Castlereagh Street, Sydney","Suite 2.01","Part floor","01 Mar 2025","POA","$212 psm","587 sqm  -  31-50 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/60-castlereagh-street","60 Castlereagh Street, Sydney","Suite 20.02","Part floor","01 Jun 2024","POA","$212 psm","401 sqm  -  31-50 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/5-martin-place","5 Martin Place, Sydney","Level 17","Full floor","Available now","POA","$0 psm","1089 sqm  -  76-100 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/5-martin-place","5 Martin Place, Sydney","Level 18","Full floor","Available now","POA","$0 psm","1089 sqm  -  76-100 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/175-pitt-street","175 Pitt Street, Sydney","Suite 13.01","Part floor","Available now","$1,180 psm","$215 psm","615 sqm  -  51-75 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/175-pitt-street","175 Pitt Street, Sydney","Level 2","Full floor","Available now","$1,055 psm","$215 psm","1036 sqm  -  76-100 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/175-pitt-street","175 Pitt Street, Sydney","Level 4","Full floor, available to sub-divide","01 Apr 2024","POA","$196 psm","1037 sqm  -  76-100 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/175-pitt-street","175 Pitt Street, Sydney","Level 6, Suite 1","Part floor","01 Oct 2024","POA","$196 psm","485 sqm  -  31-50 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/175-pitt-street","175 Pitt Street, Sydney","Level 21","Full floor, available to sub-divide","Available now","$1,175 psm","$200 psm","1045 sqm  -  76-100 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/australia-square-plaza-95-pitt-street","95 Pitt Street, Sydney","Level 7, Suite 7.02","Part floor","01 May 2024","$1,150 psm","$0 psm","262 sqm  -  11-30 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/1-bligh-street","1 Bligh Street, Sydney","Level 22","Full floor","01 Dec 2024","POA","$269 psm","1637 sqm  -  101-250 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/1-bligh-street","1 Bligh Street, Sydney","Level 25, Suite 3","Part floor","Available now","POA","$287 psm","111 sqm  -  1-10 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/australia-square-tower-264-278-george-street","264-278 George Street, Sydney","Level 6","Full floor","Available now","$1,150 psm","$244 psm","1032 sqm  -  76-100 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/australia-square-tower-264-278-george-street","264-278 George Street, Sydney","Level 7","Full floor, available to sub-divide","Available now","$1,125 psm","$244 psm","1032 sqm  -  76-100 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/australia-square-tower-264-278-george-street","264-278 George Street, Sydney","Level 8","Full floor, available to sub-divide","Available now","$1,135 psm","$244 psm","1033 sqm  -  76-100 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/australia-square-tower-264-278-george-street","264-278 George Street, Sydney","Level 9","Full floor, available to sub-divide","Available now","$1,145 psm","$244 psm","1034 sqm  -  76-100 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/australia-square-tower-264-278-george-street","264-278 George Street, Sydney","Level 22, Suite 22.01","Part floor","01 Apr 2024","$1,375 psm","$244 psm","167 sqm  -  11-30 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/australia-square-tower-264-278-george-street","264-278 George Street, Sydney","Level 24, Suite 24.02","Part floor, available to sub-divide","Available now","POA","$244 psm","492 sqm  -  31-50 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/australia-square-tower-264-278-george-street","264-278 George Street, Sydney","Level 29","Full floor, available to sub-divide","Available now","$1,350 psm","$244 psm","1063 sqm  -  76-100 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/australia-square-tower-264-278-george-street","264-278 George Street, Sydney","Level 30","Full floor, available to sub-divide","Available now","$1,360 psm","$244 psm","1060 sqm  -  76-100 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/australia-square-tower-264-278-george-street","264-278 George Street, Sydney","Level 38, Suite 38.01","Part floor","Available now","$1,575 psm","$244 psm","363 sqm  -  31-50 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/australia-square-tower-264-278-george-street","264-278 George Street, Sydney","Level 39, Suite 39.01","Part floor","Available now","$1,600 psm","$244 psm","165 sqm  -  11-30 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/australia-square-tower-264-278-george-street","264-278 George Street, Sydney","Level 41, Suite 41.04","Part floor","Available now","$1,650 psm","$244 psm","185 sqm  -  11-30 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/australia-square-tower-264-278-george-street","264-278 George Street, Sydney","Level 48, Suite 48.01","Part floor, available to sub-divide","Available now","$1,700 psm","$244 psm","500 sqm  -  31-50 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/australia-square-tower-264-278-george-street","264-278 George Street, Sydney","Level 34, Suite 34.01","Part floor","Available now","$1,550 psm","$244 psm","377 sqm  -  31-50 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/australia-square-tower-264-278-george-street","264-278 George Street, Sydney","Level 34, Suite 34.03","Part floor","Available now","$1,600 psm","$244 psm","347 sqm  -  11-30 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/309-kent-street","309 Kent Street, Sydney","Suite 803","Part floor","Available now","$975 psm","$187 psm","0 sqm",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/309-kent-street","309 Kent Street, Sydney","Suite 501","Part floor","Available now","$930 psm","$187 psm","497 sqm  -  31-50 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/309-kent-street","309 Kent Street, Sydney","Suite 1501","Part floor","Available now","$1,065 psm","$187 psm","499 sqm  -  31-50 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/321-kent-street","321 Kent Street, Sydney","Suite 602","Part floor","Available now","$1,080 psm","$181 psm","611 sqm  -  51-75 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/321-kent-street","321 Kent Street, Sydney","Level 08","Full floor","Available now","POA","$181 psm","1586 sqm  -  101-250 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/321-kent-street","321 Kent Street, Sydney","Level 12","Full floor","Available now","POA","$181 psm","1513 sqm  -  101-250 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/321-kent-street","321 Kent Street, Sydney","Suite 2002","Part floor","01 Apr 2024","$1,200 psm","$181 psm","436 sqm  -  31-50 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/the-royal-exchange-56-pitt-street","56 Pitt Street, Sydney","Suite 103","Part floor","Available now","$850 psm","Included in rent","116 sqm  -  1-10 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/the-royal-exchange-56-pitt-street","56 Pitt Street, Sydney","Level 4","Full floor","Available now","$860 psm","Included in rent","778 sqm  -  51-75 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/the-royal-exchange-56-pitt-street","56 Pitt Street, Sydney","Suite 803","Part floor, available to sub-divide","01 Jul 2024","POA","Included in rent","81 sqm  -  1-10 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/the-royal-exchange-56-pitt-street","56 Pitt Street, Sydney","Suite 1103","Part floor","01 Jul 2024","$900 psm","Included in rent","126 sqm  -  11-30 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/the-royal-exchange-56-pitt-street","56 Pitt Street, Sydney","Suite 16.01A, Level 16","Part floor","Available now","POA","Included in rent","350 sqm  -  11-30 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/the-royal-exchange-56-pitt-street","56 Pitt Street, Sydney","Suite 1801","Part floor","Available now","$960 psm","Included in rent","397 sqm  -  31-50 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/the-royal-exchange-56-pitt-street","56 Pitt Street, Sydney","Suite 2101","Part floor","Available now","$990 psm","Included in rent","560 sqm  -  31-50 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/the-royal-exchange-56-pitt-street","56 Pitt Street, Sydney","Suite 2205","Part floor","Available now","$975 psm","Included in rent","196 sqm  -  11-30 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/the-royal-exchange-56-pitt-street","56 Pitt Street, Sydney","Suite 2603","Part floor","01 Jul 2024","$1,050 psm","Included in rent","187 sqm  -  11-30 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/the-royal-exchange-56-pitt-street","56 Pitt Street, Sydney","Suite 903","Part floor","01 May 2024","$750 psm","Included in rent","146 sqm  -  11-30 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/1-farrer-place","1 Farrer Place, Sydney","Suite 42.05","Part floor","Available now","$1,850 psm","$267 psm","157 sqm  -  11-30 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/1-farrer-place","1 Farrer Place, Sydney","Suite 21.03","Part floor","Available now","POA","$277 psm","258 sqm  -  11-30 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/1-farrer-place","1 Farrer Place, Sydney","Suite 21.02","Part floor","Available now","POA","$277 psm","292 sqm  -  11-30 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/1-farrer-place","1 Farrer Place, Sydney","Suite 32.02","Part floor","01 Apr 2024","POA","$267 psm","303 sqm  -  11-30 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/1-farrer-place","1 Farrer Place, Sydney","Suite 19.02","Part floor","Available now","POA","$268 psm","582 sqm  -  31-50 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/1-farrer-place","1 Farrer Place, Sydney","Suite 42.04","Part floor","Available now","$1,850 psm","$267 psm","166 sqm  -  11-30 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/gateway-tower-1-macquarie-place","1 Macquarie Place, Sydney","Level 8","Full floor","01 Jun 2024","$1,375 psm","$0 psm","1161 sqm",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/gateway-tower-1-macquarie-place","1 Macquarie Place, Sydney","Level 9","Full floor","Available now","POA","$0 psm","1150 sqm  -  76-100 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/gateway-tower-1-macquarie-place","1 Macquarie Place, Sydney","Level 10","Full floor","Available now","POA","$0 psm","1150 sqm  -  76-100 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/gateway-tower-1-macquarie-place","1 Macquarie Place, Sydney","Level 28","Full floor","01 Aug 2024","POA","$0 psm","1205 sqm  -  101-250 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/gateway-tower-1-macquarie-place","1 Macquarie Place, Sydney","Level 37, Suite 3","Part floor","Available now","POA","$0 psm","462 sqm  -  31-50 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/gateway-tower-1-macquarie-place","1 Macquarie Place, Sydney","Level 41, Suite 4","Part floor","Available now","$1,875 psm","$277 psm","170 sqm  -  11-30 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/gateway-tower-1-macquarie-place","1 Macquarie Place, Sydney","Level 16, Suite 4","Part floor, available to sub-divide","Available now","$1,210 psm","$277 psm","103 sqm  -  1-10 people",""
"2024-03-14 01:38:47.873971","https://www.dexus.com/leasing/office/36-the-bond-36-hickson-road","36 Hickson Road, Millers Point","Level 01","Full floor","Available now","POA","$276 psm","131 sqm  -  11-30 people",""
