"scrape_datetime","Month_to_Date_Units","Product_Type","month"
"2024-03-15 22:26:03.871574","216086","Gas Warm Air Furnaces","2024/01/31"
"2024-03-15 22:26:03.871574","2630","Oil Warm Air Furnaces","2024/01/31"
"2024-03-15 22:26:03.871574","347024","Residential Gas Automatic Storage Water Heaters","2024/01/31"
"2024-03-15 22:26:03.871574","417063","Residential Electric Automatic Storage Water Heaters","2024/01/31"
"2024-03-15 22:26:03.871574","7251","Commercial Gas Storage Water Heaters","2024/01/31"
"2024-03-15 22:26:03.871574","11697","Commercial Electric Storage Water Heaters","2024/01/31"
"2024-03-15 22:26:03.871574","248035","Unitary_Air_Conditioning","2024/01/31"
"2024-03-15 22:26:03.871574","231339","Unitary_Heat_Pump","2024/01/31"
"2024-03-15 22:26:03.871574","22970","Unitary_AC_HP_sub16.5","2024/01/31"
"2024-03-15 22:26:03.871574","60667","Unitary_AC_HP_16.5-21.9","2024/01/31"
"2024-03-15 22:26:03.871574","97945","Unitary_AC_HP_22.0-26.9","2024/01/31"
"2024-03-15 22:26:03.871574","72123","Unitary_AC_HP_27.0-32.9","2024/01/31"
"2024-03-15 22:26:03.871574","88157","Unitary_AC_HP_33.0-38.9","2024/01/31"
"2024-03-15 22:26:03.871574","30550","Unitary_AC_HP_39.0-43.9","2024/01/31"
"2024-03-15 22:26:03.871574","44850","Unitary_AC_HP_44.0-53.9","2024/01/31"
"2024-03-15 22:26:03.871574","40215","Unitary_AC_HP_54.0-64.9","2024/01/31"
"2024-03-15 22:26:03.871574","7476","Unitary_AC_HP_65.0-96.9","2024/01/31"
"2024-03-15 22:26:03.871574","6132","Unitary_AC_HP_97.0-134.9","2024/01/31"
"2024-03-15 22:26:03.871574","4018","Unitary_AC_HP_135.0-184.9","2024/01/31"
"2024-03-15 22:26:03.871574","1656","Unitary_AC_HP_185.0-249.9","2024/01/31"
"2024-03-15 22:26:03.871574","1385","Unitary_AC_HP_250.0-319.9","2024/01/31"
"2024-03-15 22:26:03.871574","318","Unitary_AC_HP_320.0-379.9","2024/01/31"
"2024-03-15 22:26:03.871574","312","Unitary_AC_HP_380.0-539.9","2024/01/31"
"2024-03-15 22:26:03.871574","241","Unitary_AC_HP_540.0-639.9","2024/01/31"
"2024-03-15 22:26:03.871574","116","Unitary_AC_HP_640.0-799.9","2024/01/31"
"2024-03-15 22:26:03.871574","68","Unitary_AC_HP_800.0-899.9","2024/01/31"
"2024-03-15 22:26:03.871574","54","Unitary_AC_HP_900.0-999.9","2024/01/31"
"2024-03-15 22:26:03.871574","47","Unitary_AC_HP_1000.0-1199.9","2024/01/31"
"2024-03-15 22:26:03.871574","74","Unitary_AC_HP_over1200","2024/01/31"
