"scrape_datetime","etf_ticker","etf_name","holdings_date","ticker","isin","security_name","security_type","shares","value","pct_assets"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","MSFT","US5949181045","MICROSOFT CORP","Common Stock","402327.0","169544621.07","0.0699"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","AAPL","US0378331005","APPLE INC","Common Stock","753915.0","132749353.2","0.0547"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","NVDA","US67066G1040","NVIDIA CORP","Common Stock","148210.0","132496775.8","0.0546"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","AMZN","US0231351067","AMAZON.COM INC","Common Stock","561232.0","98720708.8","0.0407"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","META","US30303M1027","META PLATFORMS INC CL A","Common Stock","146485.0","72691716.4","0.03"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","BRK/B","US0846707026","BERKSHIRE HATHAWAY INC CL B","Common Stock","127746.0","52600692.96","0.0217"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","GOOG","US02079K1079","ALPHABET INC CL C","Common Stock","352886.0","52198897.12","0.0215"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","GOOGL","US02079K3059","ALPHABET INC CL A","Common Stock","322565.0","47426731.95","0.0196"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","JPM","US46625H1005","JPMORGAN CHASE & CO","Common Stock","224117.0","43431633.43","0.0179"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","AVGO","US11135F1012","BROADCOM INC","Common Stock","33350.0","41287633.5","0.017"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","UNH","US91324P1021","UNITEDHEALTH GROUP INC","Common Stock","74304.0","36655649.28","0.0151"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","MA","US57636Q1040","MASTERCARD INC CL A","Common Stock","71416.0","34565344.0","0.0143"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","HD","US4370761029","HOME DEPOT INC","Common Stock","87383.0","33153984.03","0.0137"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","MRK","US58933Y1055","MERCK & CO INC NEW","Common Stock","235201.0","28741562.2","0.0119"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024",".CFTAX","US31635A1051","CASH CF","Central Fund","27608434.0","27613956.38","0.0114"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","CRM","US79466L3024","SALESFORCE INC","Common Stock","91231.0","27501584.95","0.0113"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","BAC","US0605051046","BANK OF AMERICA CORPORATION","Common Stock","717244.0","25842301.32","0.0107"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","PG","US7427181091","PROCTER & GAMBLE CO","Common Stock","158236.0","25607331.88","0.0106"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","","","US DOLLAR","Currency","24792548.0","24792547.67","0.0102"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","ADBE","US00724F1012","ADOBE INC","Common Stock","45803.0","23872065.57","0.0098"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","CAT","US1491231015","CATERPILLAR INC","Common Stock","66100.0","23392790.0","0.0096"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","V","US92826C8394","VISA INC CL A","Common Stock","79113.0","22733120.55","0.0094"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","QCOM","US7475251036","QUALCOMM INC","Common Stock","135390.0","22217499.0","0.0092"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","AMAT","US0382221051","APPLIED MATERIALS INC","Common Stock","105871.0","21316067.14","0.0088"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","LLY","US5324571083","ELI LILLY & CO","Common Stock","26762.0","20681138.36","0.0085"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","WMT","US9311421039","WALMART INC","Common Stock","336185.0","20463580.95","0.0084"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","COST","US22160K1051","COSTCO WHOLESALE CORP","Common Stock","27631.0","20230589.27","0.0083"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","UBER","US90353T1007","UBER TECHNOLOGIES INC","Common Stock","262316.0","20219317.28","0.0083"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","PFE","US7170811035","PFIZER INC","Common Stock","728058.0","20116242.54","0.0083"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","AXP","US0258161092","AMERICAN EXPRESS CO","Common Stock","89757.0","19898229.33","0.0082"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","UNP","US9078181081","UNION PACIFIC CORP","Common Stock","81315.0","19735963.65","0.0081"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","INTC","US4581401001","INTEL CORP","Common Stock","464317.0","19524529.85","0.0081"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","PGR","US7433151039","PROGRESSIVE CORP OHIO","Common Stock","93533.0","19220096.17","0.0079"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","ELV","US0367521038","ELEVANCE HEALTH INC","Common Stock","36042.0","18591544.86","0.0077"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","BMY","US1101221083","BRISTOL-MYERS SQUIBB CO","Common Stock","344077.0","17823188.6","0.0074"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","VZ","US92343V1044","VERIZON COMMUNICATIONS INC","Common Stock","442243.0","17676452.71","0.0073"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","CMG","US1696561059","CHIPOTLE MEXICAN GRILL INC","Common Stock","6111.0","17095889.16","0.0071"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","LMT","US5398301094","LOCKHEED MARTIN CORP","Common Stock","39104.0","17095877.76","0.0071"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","EOG","US26875P1012","EOG RESOURCES INC","Common Stock","134501.0","16764204.64","0.0069"
"2024-03-21 10:10:23.237274","FELC","Fidelity Enhanced Large Cap Core ETF","03-19-2024","PCAR","US6937181088","PACCAR INC","Common Stock","138031.0","16701751.0","0.0069"
